emoji,unicode_name,group,graha,element,layer,nakshatra,varna,rasa,dosha,vastu_zone,confidence,method,attestation,attestation_status
🧗,person climbing,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧗‍♂️,man climbing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧗‍♀️,woman climbing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤺,person fencing,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🏇,horse racing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛷️,skier,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏂,snowboarder,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏌️,person golfing,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🏌️‍♂️,man golfing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏌️‍♀️,woman golfing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏄,person surfing,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🏄‍♂️,man surfing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏄‍♀️,woman surfing,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚣,person rowing boat,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🚣‍♂️,man rowing boat,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚣‍♀️,woman rowing boat,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏊,person swimming,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🏊‍♂️,man swimming,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏊‍♀️,woman swimming,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛹️,person bouncing ball,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
⛹️‍♂️,man bouncing ball,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛹️‍♀️,woman bouncing ball,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏋️,person lifting weights,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🏋️‍♂️,man lifting weights,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏋️‍♀️,woman lifting weights,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚴,person biking,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🚴‍♂️,man biking,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🚴‍♀️,woman biking,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🚵,person mountain biking,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🚵‍♂️,man mountain biking,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🚵‍♀️,woman mountain biking,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🤸,person cartwheeling,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🤸‍♂️,man cartwheeling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤸‍♀️,woman cartwheeling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤼,people wrestling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤼‍♂️,men wrestling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤼‍♀️,women wrestling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤽,person playing water polo,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🤽‍♂️,man playing water polo,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤽‍♀️,woman playing water polo,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤾,person playing handball,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🤾‍♂️,man playing handball,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤾‍♀️,woman playing handball,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤹,person juggling,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🤹‍♂️,man juggling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤹‍♀️,woman juggling,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧘,person in lotus position,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧘‍♂️,man in lotus position,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧘‍♀️,woman in lotus position,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛀,person taking bath,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🛌,person in bed,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧑‍🤝‍🧑,people holding hands,People & Body,shani,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👭,women holding hands,People & Body,shani,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👫,woman and man holding hands,People & Body,shani,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👬,men holding hands,People & Body,shani,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
💏,kiss,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍❤️‍💋‍👨,"kiss woman, man",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍❤️‍💋‍👨,"kiss man, man",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍❤️‍💋‍👩,"kiss woman, woman",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💑,couple with heart,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👩‍❤️‍👨,"couple with heart woman, man",People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👨‍❤️‍👨,"couple with heart man, man",People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👩‍❤️‍👩,"couple with heart woman, woman",People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👨‍👩‍👦,"family man, woman, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👩‍👧,"family man, woman, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👩‍👧‍👦,"family man, woman, girl, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👩‍👦‍👦,"family man, woman, boy, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👩‍👧‍👧,"family man, woman, girl, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👨‍👦,"family man, man, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👨‍👧,"family man, man, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👨‍👧‍👦,"family man, man, girl, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👨‍👦‍👦,"family man, man, boy, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👨‍👧‍👧,"family man, man, girl, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👩‍👦,"family woman, woman, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👩‍👧,"family woman, woman, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👩‍👧‍👦,"family woman, woman, girl, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👩‍👦‍👦,"family woman, woman, boy, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👩‍👧‍👧,"family woman, woman, girl, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👦,"family man, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👦‍👦,"family man, boy, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👧,"family man, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👧‍👦,"family man, girl, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👨‍👧‍👧,"family man, girl, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👦,"family woman, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👦‍👦,"family woman, boy, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👧,"family woman, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👧‍👦,"family woman, girl, boy",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👩‍👧‍👧,"family woman, girl, girl",People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🗣️,speaking head,People & Body,surya,ether,S1,,kshatriya,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👤,bust in silhouette,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👥,busts in silhouette,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫂,people hugging,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👪,family,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧑‍🧑‍🧒,"family adult, adult, child",People & Body,chandra,ether,S5,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧑‍🧑‍🧒‍🧒,"family adult, adult, child, child",People & Body,chandra,ether,S5,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧑‍🧒,"family adult, child",People & Body,chandra,ether,S5,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧑‍🧒‍🧒,"family adult, child, child",People & Body,chandra,ether,S5,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👣,footprints,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫆,fingerprint,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🐵,monkey face,Animals & Nature,mangala,air,S6,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐒,monkey,Animals & Nature,mangala,air,S6,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦍,gorilla,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦧,orangutan,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐶,dog face,Animals & Nature,rahu,air,S5,,universal,,,,0.8,vahana_map,SYNTHESIS,inferred_coherent
🐕,dog,Animals & Nature,rahu,air,S5,,universal,,,,0.8,vahana_map,SYNTHESIS,inferred_coherent
🦮,guide dog,Animals & Nature,rahu,air,S5,,universal,,,,0.8,vahana_map,SYNTHESIS,inferred_coherent
🐕‍🦺,service dog,Animals & Nature,rahu,air,S5,,universal,,,,0.8,vahana_map,SYNTHESIS,inferred_coherent
🐩,poodle,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐺,wolf,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦊,fox,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦝,raccoon,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐱,cat face,Animals & Nature,rahu,air,S5,,universal,,,,0.7,vahana_map,SYNTHESIS,inferred_coherent
🐈,cat,Animals & Nature,rahu,air,S5,,universal,,,,0.7,vahana_map,SYNTHESIS,inferred_coherent
🐈‍⬛,black cat,Animals & Nature,rahu,air,S5,,universal,,,,0.7,vahana_map,SYNTHESIS,inferred_coherent
🦁,lion,Animals & Nature,surya,fire,S1,,kshatriya,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐯,tiger face,Animals & Nature,mangala,fire,S1,,kshatriya,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐅,tiger,Animals & Nature,mangala,fire,S1,,kshatriya,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐆,leopard,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐴,horse face,Animals & Nature,ketu,fire,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🫎,moose,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫏,donkey,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐎,horse,Animals & Nature,ketu,fire,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦄,unicorn,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦓,zebra,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦌,deer,Animals & Nature,chandra,earth,S5,,universal,,,,0.8,vahana_map,SYNTHESIS,inferred_coherent
🦬,bison,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐮,cow face,Animals & Nature,chandra,earth,S0,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐂,ox,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐃,water buffalo,Animals & Nature,shani,earth,S1,,universal,,,,0.9,vahana_map,TRADITIONAL,inferred_coherent
🐄,cow,Animals & Nature,chandra,earth,S0,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐷,pig face,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐖,pig,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐗,boar,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐽,pig nose,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐏,ram,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐑,ewe,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐐,goat,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐪,camel,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐫,two-hump camel,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦙,llama,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦒,giraffe,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐘,elephant,Animals & Nature,guru,earth,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦣,mammoth,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦏,rhinoceros,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦛,hippopotamus,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐭,mouse face,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐁,mouse,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐀,rat,Animals & Nature,budha,earth,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐹,hamster,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐰,rabbit face,Animals & Nature,chandra,earth,S5,,universal,,,,0.7,vahana_map,SYNTHESIS,inferred_coherent
🐇,rabbit,Animals & Nature,chandra,earth,S5,,universal,,,,0.7,vahana_map,SYNTHESIS,inferred_coherent
🐿️,chipmunk,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦫,beaver,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦔,hedgehog,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦇,bat,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐻,bear,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐻‍❄️,polar bear,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐨,koala,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐼,panda,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦥,sloth,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦦,otter,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦨,skunk,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦘,kangaroo,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦡,badger,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐾,paw prints,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦃,turkey,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐔,chicken,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐓,rooster,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐣,hatching chick,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐤,baby chick,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐥,front-facing baby chick,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐦,bird,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐧,penguin,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕊️,dove,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦅,eagle,Animals & Nature,surya,fire,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦆,duck,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦢,swan,Animals & Nature,guru,air,S1,,brahmana,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦉,owl,Animals & Nature,shani,ether,S1,,universal,,,,0.9,vahana_map,TRADITIONAL,inferred_coherent
🦤,dodo,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪶,feather,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦩,flamingo,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦚,peacock,Animals & Nature,mangala,fire,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦜,parrot,Animals & Nature,shukra,air,S2,,universal,,,,0.8,vahana_map,TRADITIONAL,inferred_coherent
🪽,wing,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐦‍⬛,black bird,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🪿,goose,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐦‍🔥,phoenix,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐸,frog,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐊,crocodile,Animals & Nature,mangala,water,S5,,universal,,,,0.8,vahana_map,TRADITIONAL,inferred_coherent
🐢,turtle,Animals & Nature,shani,water,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦎,lizard,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐍,snake,Animals & Nature,rahu,water,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐲,dragon face,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐉,dragon,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦕,sauropod,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦖,T-Rex,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐳,spouting whale,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐋,whale,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐬,dolphin,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦭,seal,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐟,fish,Animals & Nature,chandra,water,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐠,tropical fish,Animals & Nature,chandra,water,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🐡,blowfish,Animals & Nature,chandra,water,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦈,shark,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐙,octopus,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐚,spiral shell,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪸,coral,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪼,jellyfish,Animals & Nature,chandra,water,S1,,universal,,,,1.0,vahana_map,TRADITIONAL,inferred_coherent
🦀,crab,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦞,lobster,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦐,shrimp,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦑,squid,Animals & Nature,,water,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦪,oyster,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐌,snail,Animals & Nature,,earth,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦋,butterfly,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐛,bug,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🐜,ant,Animals & Nature,,earth,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐝,honeybee,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🪲,beetle,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🐞,lady beetle,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦗,cricket,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪳,cockroach,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕷️,spider,Animals & Nature,,earth,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🕸️,spider web,Animals & Nature,,earth,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦂,scorpion,Animals & Nature,,fire,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦟,mosquito,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪰,fly,Animals & Nature,,air,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🪱,worm,Animals & Nature,,earth,S5,,universal,,,,0.5,habitat_element,SYNTHESIS,inferred_coherent
🦠,microbe,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💐,bouquet,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌸,cherry blossom,Animals & Nature,shukra,water,S5,,universal,,,,0.5,plant_venus,SYNTHESIS,inferred_coherent
💮,white flower,Animals & Nature,shukra,water,S5,,universal,,,,0.5,plant_venus,SYNTHESIS,inferred_coherent
🪷,lotus,Animals & Nature,,earth,S5,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏵️,rosette,Animals & Nature,shukra,water,S5,,universal,,,,0.5,plant_venus,SYNTHESIS,inferred_coherent
🌹,rose,Animals & Nature,shukra,water,S5,,universal,,,,0.5,plant_venus,SYNTHESIS,inferred_coherent
🥀,wilted flower,Animals & Nature,shukra,water,S5,,universal,,,,0.5,plant_venus,SYNTHESIS,inferred_coherent
