latin_name,common_name,family,habit,mature_height_m,canopy_spread_m,hardiness_zone_min,hardiness_zone_max,layer,succession_role,root_architecture,water_relationship,nitrogen_fixer,guild_function_primary,allelopathic,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,edibility_rating,medicinal_rating,other_uses_rating,soil,shade,moisture,range,found_in,known_hazards,summary,attestation,source
Artocarpus odoratissimus,"Marang, Terap",Moraceae,Tree,25.0,,10,12,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,4,0,0,LMH,N,M,"Southeast Asia - Thailand, Malaysia, Indonesia, Philippines.","Found In: Asia, Australia, Brazil, Brunei, Burma, Indonesia, Malaysia, Myanmar, North America, Pacific, Philippines, SE Asia, South America, USA [1b].",None known,"Artocarpus odoratissimus, otherwise known as marang, terap, timadang, johey, oak, green pedalai, tarap, or madang, is a large, tropical, evergreen tree. It is native to the Philippines, particularly in Palawan and Mindanao, and Borneo. It can grow up to 25 m high and its trunk can reach up to 50 cm ",OBSERVED:PFAF,pfaf.org database
Aruncus dioicus,"Goat's Beard, Bride's feathers",Rosaceae,Perennial,2.0,,3,7,groundcover,early_successional,fibrous_shallow,wetland,no,groundcover,no,no,no,no,no,no,no,2,2,0,LMH,SN,DMWe,"Europe, N. America and Asia.",,Cyanogenic glycosides are found in the leaves[74].,"Bloom Color: White.
Main Bloom Time: Early summer, Mid summer. Form: Upright or erect.",OBSERVED:PFAF,pfaf.org database
Arundinaria gigantea,"Canebrake bamboo, Cane Reed, Giant cane",Poaceae or Gramineae,Bamboo,9.0,,5,9,canopy,mid_successional,rhizomatous,wetland,no,windbreak,no,yes,yes,yes,yes,yes,yes,3,1,4,LMH,SN,M,"Southeastern N. America - Ohio, Indiana, Illinois and Oklahoma to North Carolina, Florida and Texas.","Australia, Britain, Europe, North America, USA [1-4]. The USDA database lists Arundinaria gigantea (Canebrake bamboo ) as native to some of the L48 (Lower 48 States). Native to river banks, moist bott",None known,"Canebrake bamboo - Young shoots are edible and cooked. They are used as a pot-herb. The seed is also cooked and used as a wheat substitute. The extensive growth of the plant provides streambank stabilization, sediment retention, and bioaccumulation of nutrients and toxins.So long as it can be restra",OBSERVED:PFAF,pfaf.org database
Arundinaria spp,Running Bamboo,Poaceae,Bamboo,10.0,,4,10,canopy,mid_successional,fibrous_shallow,wetland,no,windbreak,no,yes,yes,yes,yes,yes,yes,3,1,4,LMH,FSN,M,"Asia, North America",Asia. North America,None Known,"There are three recognized species of the genus Arundinaria accepted: Arundinaria appalachiana Triplett, Weakley & L.G.Clark – Hill cane, Arundinaria gigantea (Walt.) Muhl. – River cane, Arundinaria tecta Muhl. – Switch cane. Managed bamboo forest sequester more carbon than wild bamboo and the same ",OBSERVED:PFAF,pfaf.org database
Asarum arifolium,,Aristolochiaceae,Perennial,0.2,,6,9,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,2,LMH,FS,M,South-eastern N. America - Virginia to Louisiana.,,"Although no reports of toxicity have been found for this plant, at least 3 other members of this genus have reports that the leaves are toxic[7, 19]. Some caution is therefore advised in the use of this plant.",,OBSERVED:PFAF,pfaf.org database
Asarum canadense,"Snake Root, Canadian wildginger, Canada Wild Ginger, Wild Ginger",Aristolochiaceae,Perennial,0.1,,3,9,groundcover,mid_successional,rhizomatous,mesic,no,groundcover,no,no,no,no,no,no,no,3,3,3,LMH,FS,M,"Eastern N. America - Manitoba to New Brunswick, south to N. Carolina and Kansas.",,The leaves are poisonous[19]. Handling the leaves is said to cause dermatitis in some people[269].,"Bloom Color: Brown, Purple.
Main Bloom Time: Early spring, Mid spring. Form: Spreading or horizontal.",OBSERVED:PFAF,pfaf.org database
Asarum caudatum,"Wild Ginger, British Columbia wildginger",Aristolochiaceae,Perennial,0.1,,6,10,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,3,2,3,LMH,FS,M,Western N. America - British Columbia to California.,,"Although no reports of toxicity have been found for this plant, at least 3 other members of this genus have reports that the leaves are toxic[7, 19]. Some caution is therefore advised in the use of this plant.","Bloom Color: Red.
Main Bloom Time: Mid spring. Form: Irregular or sprawling, Spreading or horizontal.",OBSERVED:PFAF,pfaf.org database
Asarum reflexum,,Aristolochiaceae,Perennial,0.2,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,0,LMH,FS,M,"Eastern N. America - Connecticut and New York to Iowa, Michigan, North Carolina and Kansas.",,"Although no reports of toxicity have been found for this plant, at least 3 other members of this genus have reports that the leaves are toxic[7, 19]. Some caution is therefore advised in the use of this plant.",,OBSERVED:PFAF,pfaf.org database
Asarum shuttleworthii,"Asarabacca, Mottled Wild Ginger",Aristolochiaceae,Perennial,0.1,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,2,LMH,FS,M,South-eastern N. America - West Virginia to Alabama.,,"Although no reports of toxicity have been found for this plant, at least 3 other members of this genus have reports that the leaves are toxic[7, 19]. Some caution is therefore advised in the use of this plant.","Bloom Color: Brown, Purple.
Main Bloom Time: Early summer. Form: Prostrate, Spreading or horizontal.",OBSERVED:PFAF,pfaf.org database
Asclepias asperula,"Antelope Horns, Spider milkweed, Trailing Milkweed",Asclepiadaceae,Perennial,1.0,,7,9,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,2,1,0,LM,SN,DM,South-western N. America.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. This species is said to be poisonous to livestock[228].","Bloom Color: White.
Main Bloom Time: Early summer, Late spring, Mid summer.Form: Irregular or sprawling, Spreading or horizontal.",OBSERVED:PFAF,pfaf.org database
Asclepias brachystephana,Bract milkweed,Asclepiadaceae,Perennial,0.3,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,0,0,0,L,SN,DM,"Central and Southern N. America - Wyoming to Texas, Arizona and Mexico.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias californica,"California Milkweed, Greene's milkweed",Asclepiadaceae,Perennial,0.5,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,2,1,0,L,SN,DM,South-western N. America.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias currasavica,Blood Flower,Apocynaceae,Perennial,2.0,,10,12,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,2,LMH,N,M,"Tropical S. America, but widely naturalized in many areas of the Tropics.","Ranging from southern North America through Central America and into South America. An introduced species in the US states of California, Florida, Hawaii, Louisiana, Tennessee, and Texas, the US uninc","The root contains a glycoside, asclepiadin, which is emetic and purgative - in large doses it can cause death[332 ]. The plant is suspected to be poisonous to grazing animals[332 ].",Native to the American tropics. Grown as an ornamental garden plant and as a source of food for butterflies. Incorrect spelling in the database - should be Asclepias curassavica,OBSERVED:PFAF,pfaf.org database
Asclepias decumbens,,Asclepiadaceae,Perennial,0.9,,,,groundcover,mid_successional,tuber,drought_tolerant,no,support,no,no,no,no,no,no,no,2,0,0,L,SN,DM,Eastern N. America - Illinois and Ohio to North Carolina and Florida..,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias eriocarpa,Woollypod Milkweed,Asclepiadaceae,Perennial,0.9,,7,10,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,2,2,3,L,SN,DM,South-western N. America - California,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The plant is said to be poisonous to sheep[1].",,OBSERVED:PFAF,pfaf.org database
Asclepias erosa,Desert Milkweed,Asclepiadaceae,Perennial,0.8,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,2,0,0,L,N,DM,South-western N. America.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias galioides,Bedstraw Milkweed,Asclepiadaceae,Perennial,0.4,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,1,0,L,SN,DM,"Central and southern N. America - Kansas to Colorado, Arizona, New Mexico And Mexico",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias hallii,"Purple Silkweed, Hall's milkweed",Asclepiadaceae,Perennial,1.0,,3,7,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,3,1,0,LM,SN,DM,"Western N. America - Wyoming to Colorado, south to Nevada and S. Arizona.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias incarnata,"Swamp Milkweed, Swamp Butterfly Weed, Marsh Milkweed",Asclepiadaceae,Perennial,1.2,,3,8,groundcover,mid_successional,fibrous_shallow,wetland,no,pest_confuser,no,no,no,no,no,no,no,3,2,3,LM,SN,DMWe,"N. America - Quebec to Manitoba and Wyoming, south to Texas and New Mexico.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The leaves and the stems might be poisonous[20].","Common names include: rose milkweed, swamp milkweed, Swamp Butterfly Weed, and Marsh Milkweed. The plants have specialized roots for living in heavy wet soils. Some good edible, medicinal and other uses. Bloom Color: Pink, Purple.
Main Bloom Time: Early fall, Late summer, Mid summer. Form: Upright ",OBSERVED:PFAF,pfaf.org database
Asclepias involucrata,Dwarf Milkweed,Asclepiadaceae,Perennial,,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,2,1,0,L,SN,DM,South-western N. America,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias lanceolata,"Purple Silkweed, Fewflower milkweed",Asclepiadaceae,Perennial,1.2,,4,8,groundcover,mid_successional,fibrous_shallow,wetland,no,pest_confuser,no,no,no,no,no,no,no,2,1,0,LM,SN,DM,Eastern N. America - New Jersey to Florida and Texas,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias latifolia,Broadleaf Milkweed,Asclepiadaceae,Perennial,0.8,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,0,1,0,L,SN,DM,"Central and south-western N. America - Nebraska to Colorado, Texas and Arizona",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias mexicana,,Asclepiadaceae,Perennial,0.8,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,1,0,0,L,SN,DM,South-western N. America - C. Mexico.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The flowers are considered to be poisonous by some Indian tribes[161, 177].",,OBSERVED:PFAF,pfaf.org database
Asclepias ovalifolia,Oval-leaf milkweed,Asclepiadaceae,Perennial,0.6,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,2,0,0,LM,SN,DM,Central N. America.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The following report relates to the closely related A. syriaca and is probably also ",,OBSERVED:PFAF,pfaf.org database
Asclepias pumila,"Low Milkweed, Plains milkweed",Asclepiadaceae,Perennial,0.4,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,2,1,0,LM,SN,DM,"Western N. America - Iowa to South Dakota, Arkansas, Wyoming, Texas, Colorado and New Mexico.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. This species is said to be poisonous to livestock[228].",,OBSERVED:PFAF,pfaf.org database
Asclepias purpurascens,Purple Milkweed,Asclepiadaceae,Perennial,0.8,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,pest_confuser,no,no,no,no,no,no,no,2,1,0,LM,SN,DM,"Eastern N. America - South Dakota to Minnesota, south to Tennessee.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias quadrifolia,Fourleaf Milkweed,Asclepiadaceae,Perennial,0.5,,4,8,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,2,2,0,LM,SN,DM,"Eastern N. America - New Hampshire to South Carolina, west to Kansas and Minnesota.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias rubra,Red Silkweed,Asclepiadaceae,Perennial,1.2,,4,8,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,3,1,0,LM,SN,DM,"Eastern N. America - New Jersey and Pennsylvania to Florida, Missouri, Louisiana and Texas.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias speciosa,Showy Milkweed,Asclepiadaceae,Perennial,0.8,,3,9,groundcover,mid_successional,fibrous_shallow,mesic,no,pollinator_attractor,no,no,no,no,no,no,no,3,2,3,LM,SN,DM,"Western N. America - Minnesota to British Columbia, south to Kansas, Utah and California.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. One report says that the plant is considered poisonous in large quantities by some n","Asclepias speciosa or Showy Milkweed is a milky-sapped perennial plant with good edible uses. Flowers, leaves, the root, and seeds are all edible.  It also has some medicinal and other uses.",OBSERVED:PFAF,pfaf.org database
Asclepias subulata,Rush Milkweed,Asclepiadaceae,Perennial,2.0,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,0,L,SN,DM,South-western N. America.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. One report says that the plant is considered poisonous by some native North American",,OBSERVED:PFAF,pfaf.org database
Asclepias sullivantii,Prairie milkweed,Asclepiadaceae,Perennial,1.2,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,0,0,L,SN,DM,"N. America - Ontario to Ohio, Minnesota, Nebraska, Missouri and Kansas.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asclepias syriaca,"Common Milkweed, Silkweed, Milkweed",Asclepiadaceae,Perennial,1.0,,3,8,groundcover,mid_successional,rhizomatous,drought_tolerant,no,pest_confuser,no,no,no,no,no,no,no,3,2,3,LM,SN,DM,"Eastern N. America - New Brunswick to Saskatchewan, south to N. Carolina, Kansas and Georgia.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The older leaves are poisonous if eaten in large quantities[20, 21]. The plant conta","A perennial herb with long-spreading rhizomes. Flowers sweet-smelling, pink to white. Edible Parts include the flowers, leaves; oil, seed, and seedpod. It has some good medicinal and other uses.  Common Names: broadleaf milkweed; butterfly flower; cotton weed; silkweed; silky milkweed; silky swallow",OBSERVED:PFAF,pfaf.org database
Asclepias tuberosa,"Pleurisy Root, Butterfly milkweed, Rolfs' milkweed, Indian Paintbrush",Asclepiadaceae,Perennial,0.8,,3,9,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,pest_confuser,no,no,no,no,no,no,no,3,3,4,LM,SN,DM,"N. America - S. Ontario and New York to Minnesota, south to Florida and Colorado.",,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The plant is poisonous if eaten in large quantities[20, 62]. Very large doses can ca","Bloom Color: Orange, Red, Yellow.
Main Bloom Time: Early summer, Late summer, Mid summer. Form: Upright or erect.",OBSERVED:PFAF,pfaf.org database
Asclepias viridiflora,"Green Milkweed,  Green comet milkweed",Asclepiadaceae,Perennial,1.0,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,3,2,0,LM,SN,DM,Eastern N. America - west and south to Arizona and Mexico.,,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,OBSERVED:PFAF,pfaf.org database
Asimina triloba,Papaw,Annonaceae,Shrub,4.5,,5,8,shrub,mid_successional,rhizomatous,mesic,no,pest_confuser,no,no,no,no,no,no,no,4,2,3,M,SN,M,"South-eastern N. America - New Jersey to Florida, west to Texas and Nebraska.","Afghanistan, Australia, Britain, Canada, Europe, North America (native), Tasmania, USA [1-4]. A Missouri native small understory tree [2-2]. The USDA database lists Asimina triloba (pawpaw ) as native","The seed contains a toxic alkaloid and is poisonous[106, 274]. The leaves can cause dermatitis in a small number of sensitive people[222, 274]. Other reports say that handling the fruit can cause dermatitis[200, 227].","Bloom Color: Purple.
Main Bloom Time: Early spring, Late spring, Mid spring.",OBSERVED:PFAF,pfaf.org database
Aster cordifolius,Common Blue Wood Aster,Asteraceae or Compositae,Perennial,1.5,,3,7,groundcover,mid_successional,fibrous_shallow,moisture_loving,no,support,no,no,no,no,no,no,no,2,1,2,LMH,N,M,"Eastern N. America - Nova Scotia and New Brunswick to Ontario, Minnesota, Georgia and Missouri.",,None known,,OBSERVED:PFAF,pfaf.org database
Aster lanceolatus,White Panicle Aster,Asteraceae or Compositae,Perennial,2.0,,4,8,groundcover,mid_successional,fibrous_shallow,moisture_loving,no,pollinator_attractor,no,no,no,no,no,no,no,0,1,2,LMH,SN,M,N. America. Naturalized in eastern and southern Britain[17].,,None known,,OBSERVED:PFAF,pfaf.org database
Aster macrophyllus,Bigleaf Aster,Asteraceae or Compositae,Perennial,0.6,,3,7,groundcover,mid_successional,fibrous_shallow,moisture_loving,no,groundcover,no,no,no,no,no,no,no,2,1,2,LMH,SN,DM,Eastern N. America. Occasionally naturalized in Britain[17].,,None known,,OBSERVED:PFAF,pfaf.org database
Aster novae-angliae,New England Aster,Asteraceae or Compositae,Perennial,1.5,,4,9,groundcover,mid_successional,fibrous_shallow,wetland,no,support,no,no,no,no,no,no,no,0,2,0,LMH,SN,M,Eastern N. America. Naturalized in several areas of Britain[17].,,None known,"Bloom Color: Pink.
Main Bloom Time: Early fall, Late summer, Mid fall. Form: Upright or erect.",OBSERVED:PFAF,pfaf.org database
Aster novi-belgii,"Michaelmas Daisy, New York Aster",Asteraceae or Compositae,Perennial,1.2,,4,8,groundcover,mid_successional,fibrous_shallow,moisture_loving,no,pollinator_attractor,no,no,no,no,no,no,no,0,0,2,LMH,SN,M,Eastern N. America. Naturalized in Britain[17].,,None known,"Bloom Color: Blue, Lavender.
Main Bloom Time: Early fall, Late summer, Mid fall. Form: Upright or erect.",OBSERVED:PFAF,pfaf.org database
Aster puniceus,Purplestem Aster,Asteraceae or Compositae,Perennial,1.3,,3,8,groundcover,mid_successional,fibrous_shallow,moisture_loving,no,pollinator_attractor,no,no,no,no,no,no,no,0,2,2,LMH,SN,M,Eastern N. America. Naturalized in several sites in northern Britain[17].,,None known,,OBSERVED:PFAF,pfaf.org database
Astragalus aboriginorum,Indian Milkvetch,Fabaceae or Leguminosae,Perennial,0.3,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,2,0,0,LM,N,D,Western N. America - Canada and southwards.,,Many members of this genus contain toxic glycosides[65]. All species with edible seedpods can be distinguished by their fleshy round or oval seedpod that looks somewhat like a greengage.[85] A number of species can also accumulate toxic levels of selenium when grown in soils that are relatively rich,,OBSERVED:PFAF,pfaf.org database
Astragalus canadensis,"Canadian Milkvetch, Shorttooth Canadian milkvetch, Morton's Canadian milkvetch",Fabaceae or Leguminosae,Perennial,1.0,,7,10,groundcover,mid_successional,rhizomatous,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,3,2,3,LM,N,D,"Central and eastern N. America - Quebec to Saskatchewan, New York, Louisiana, Nebraska and Utah.",,Many members of this genus contain toxic glycosides[65]. All species with edible seedpods can be distinguished by their fleshy round or oval seedpod that looks somewhat like a greengage.[85] A number of species can also accumulate toxic levels of selenium when grown in soils that are relatively rich,,OBSERVED:PFAF,pfaf.org database
Astragalus crassicarpus,"Ground Plum, Groundplum milkvetch",Fabaceae or Leguminosae,Perennial,0.5,,6,9,groundcover,mid_successional,fibrous_shallow,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,4,1,3,LM,N,D,Western N. America - Eastern Rocky mountains and eastward to Nebraska.,"Canada, Kuwait, North America, USA [1-4]. The USDA database lists Astragalus crassicarpus (groundplum milkvetch ) as native to some of the L48 (Lower 48 States), and Canada. Native to North American p",Many members of this genus contain toxic glycosides[65]. All species with edible seedpods can be distinguished by their fleshy round or oval seedpod that looks somewhat like a greengage[85]. A number of species can also accumulate toxic levels of selenium when grown in soils that are relatively rich,,OBSERVED:PFAF,pfaf.org database
Astragalus diphysus,"Specklepod Milkvetch, Freckled milkvetch",Fabaceae or Leguminosae,Perennial,,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,3,0,0,LM,N,D,South-western N. America.,,Many members of this genus contain toxic glycosides[65]. All species with edible seedpods can be distinguished by their fleshy round or oval seedpod that looks somewhat like a greengage[85]. A number of species can also accumulate toxic levels of selenium when grown in soils that are relatively rich,,OBSERVED:PFAF,pfaf.org database
Astragalus pictus-filifolius,Painted Milkvetch,Fabaceae or Leguminosae,Perennial,0.3,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,4,0,0,LM,N,D,"Western N. America - C. Idaho and E. Montana, Dakota and Nebraska.",,Many members of this genus contain toxic glycosides[65]. All species with edible seedpods can be distinguished by their fleshy round or oval seedpod that looks somewhat like a greengage[85]. A number of species can also accumulate toxic levels of selenium when grown in soils that are relatively rich,,OBSERVED:PFAF,pfaf.org database
Astragalus umbellatus,Tundra milkvetch,Fabaceae or Leguminosae,Perennial,0.2,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,2,0,0,LM,N,D,N. America. N. Europe.,,Many members of this genus contain toxic glycosides[65]. All species with edible seedpods can be distinguished by their fleshy round or oval seedpod that looks somewhat like a greengage[85]. A number of species can also accumulate toxic levels of selenium when grown in soils that are relatively rich,,OBSERVED:PFAF,pfaf.org database
Atriplex argentea,"Silvery Orach, Silverscale saltbush, Stalked saltbush",Chenopodiaceae,Annual,0.5,,,,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,2,2,2,LM,N,M,N. America - Manitoba and south to California.,,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex argentea expansa,Silverscale Saltbush,Chenopodiaceae,Annual,0.6,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,0,LM,N,M,South-western N. America.,,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex californica,"California Orach, California saltbush",Chenopodiaceae,Perennial,0.1,,7,10,groundcover,early_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,3,0,0,LM,N,DM,South-western N. America - California.,,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex canescens,"Grey Sage Brush, Fourwing saltbush",Chenopodiaceae,Shrub,1.8,,6,9,shrub,mid_successional,fibrous_shallow,drought_tolerant,no,windbreak,no,no,no,no,no,no,no,4,1,3,LM,N,DM,"Central and southwestern N. America - South Dakota to Kansas, Texas, California and Mexico.","Africa, Asia, Australia, Canada, Central America, China, Egypt, Hawaii, Iran, Israel, Libya, Mexico*, North Africa, North America, Pacific, Pakistan, Saudi Arabia, USA,","No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex carnosa,Thickleaf Orach,Chenopodiaceae,Annual,0.9,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,0,LM,N,DM,Western N. America,,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex confertifolia,"Shadscale, Shadscale saltbush",Chenopodiaceae,Shrub,1.8,,6,9,shrub,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,4,1,0,LM,N,DM,Western N. America,"North America, USA,","No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex coronata,Crownscale,Chenopodiaceae,Annual,0.4,,,,groundcover,early_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,0,LM,N,DM,South-western N. America - California.,,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
Atriplex elegans,Wheelscale Saltbush,Chenopodiaceae,Annual,0.2,,,,groundcover,early_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,0,LM,N,DM,South-western N. America - California to Texas.,,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,OBSERVED:PFAF,pfaf.org database
