guild_id,anchor_plant,companion_plant,relationship_type,guild_function,vastu_zone,element,graha_companion,ayurvedic_synergy,planting_nakshatra,planting_phase,planting_vara,source,attestation,notes
G178,Shami,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Dhanishta,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G179,Shami,Marigold,companion,pest_repellent,SE,Fire,Surya,,Dhanishta,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G180,Shami,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Dhanishta,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G181,Shami,Clover,companion,ground_cover,SW,Earth,Chandra,,Dhanishta,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G182,Shami,Bean,companion,climber,E,Space,Mangala,,Dhanishta,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G183,Shami,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Dhanishta,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G184,Shami,Black walnut,conflict,conflict,SW,Earth,Rahu,,Dhanishta,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
G185,Kadamba,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Shatabhisha,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G186,Kadamba,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Shatabhisha,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G187,Kadamba,Marigold,companion,pest_repellent,SE,Fire,Surya,,Shatabhisha,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G188,Kadamba,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Shatabhisha,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G189,Kadamba,Clover,companion,ground_cover,SW,Earth,Chandra,,Shatabhisha,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G190,Kadamba,Bean,companion,climber,E,Space,Mangala,,Shatabhisha,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G191,Kadamba,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Shatabhisha,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G192,Kadamba,Black walnut,conflict,conflict,SW,Earth,Rahu,,Shatabhisha,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
G193,Neem,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Purvabhadra,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G194,Neem,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Purvabhadra,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G195,Neem,Marigold,companion,pest_repellent,SE,Fire,Surya,,Purvabhadra,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G196,Neem,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Purvabhadra,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G197,Neem,Clover,companion,ground_cover,SW,Earth,Chandra,,Purvabhadra,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G198,Neem,Bean,companion,climber,E,Space,Mangala,,Purvabhadra,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G199,Neem,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Purvabhadra,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G200,Neem,Black walnut,conflict,conflict,SW,Earth,Rahu,,Purvabhadra,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
G201,Mango,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Uttarabhadra,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G202,Mango,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Uttarabhadra,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G203,Mango,Marigold,companion,pest_repellent,SE,Fire,Surya,,Uttarabhadra,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G204,Mango,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Uttarabhadra,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G205,Mango,Clover,companion,ground_cover,SW,Earth,Chandra,,Uttarabhadra,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G206,Mango,Bean,companion,climber,E,Space,Mangala,,Uttarabhadra,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G207,Mango,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Uttarabhadra,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G208,Mango,Black walnut,conflict,conflict,SW,Earth,Rahu,,Uttarabhadra,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
G209,Mahua,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Revathi,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G210,Mahua,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Revathi,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G211,Mahua,Marigold,companion,pest_repellent,SE,Fire,Surya,,Revathi,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G212,Mahua,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Revathi,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G213,Mahua,Clover,companion,ground_cover,SW,Earth,Chandra,,Revathi,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G214,Mahua,Bean,companion,climber,E,Space,Mangala,,Revathi,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G215,Mahua,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Revathi,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G216,Mahua,Black walnut,conflict,conflict,SW,Earth,Rahu,,Revathi,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
