hexagram_id,line_number,yang_or_yin,line_text_wilhelm,field_meaning,changing_to_hexagram,lifecycle_transition,intensity_threshold
hexagram_52,1,yang,Line 1 of keeping still,foundation,hexagram_23,rest_to_change,0.15
hexagram_52,2,yin,Line 2 of keeping still,inner_world,hexagram_18,rest_to_change,0.3
hexagram_52,3,yin,Line 3 of keeping still,transition,hexagram_22,rest_to_change,0.45
hexagram_52,4,yang,Line 4 of keeping still,outer_world,hexagram_15,rest_to_change,0.6
hexagram_52,5,yin,Line 5 of keeping still,authority,hexagram_53,rest_to_change,0.75
hexagram_52,6,yin,Line 6 of keeping still,culmination,hexagram_56,rest_to_change,0.9
hexagram_53,1,yang,Line 1 of development,foundation,hexagram_20,growth_to_change,0.15
hexagram_53,2,yin,Line 2 of development,inner_world,hexagram_57,growth_to_change,0.3
hexagram_53,3,yin,Line 3 of development,transition,hexagram_37,growth_to_change,0.45
hexagram_53,4,yang,Line 4 of development,outer_world,hexagram_39,growth_to_change,0.6
hexagram_53,5,yang,Line 5 of development,authority,hexagram_52,growth_to_change,0.75
hexagram_53,6,yin,Line 6 of development,culmination,hexagram_33,growth_to_change,0.9
hexagram_54,1,yin,Line 1 of the marrying maiden,foundation,hexagram_34,growth_to_change,0.15
hexagram_54,2,yang,Line 2 of the marrying maiden,inner_world,hexagram_51,growth_to_change,0.3
hexagram_54,3,yang,Line 3 of the marrying maiden,transition,hexagram_40,growth_to_change,0.45
hexagram_54,4,yin,Line 4 of the marrying maiden,outer_world,hexagram_38,growth_to_change,0.6
hexagram_54,5,yin,Line 5 of the marrying maiden,authority,hexagram_58,growth_to_change,0.75
hexagram_54,6,yang,Line 6 of the marrying maiden,culmination,hexagram_19,growth_to_change,0.9
hexagram_55,1,yang,Line 1 of abundance,foundation,hexagram_51,bloom_to_change,0.15
hexagram_55,2,yin,Line 2 of abundance,inner_world,hexagram_34,bloom_to_change,0.3
hexagram_55,3,yang,Line 3 of abundance,transition,hexagram_62,bloom_to_change,0.45
hexagram_55,4,yin,Line 4 of abundance,outer_world,hexagram_30,bloom_to_change,0.6
hexagram_55,5,yin,Line 5 of abundance,authority,hexagram_49,bloom_to_change,0.75
hexagram_55,6,yang,Line 6 of abundance,culmination,hexagram_36,bloom_to_change,0.9
hexagram_56,1,yang,Line 1 of the wanderer,foundation,hexagram_35,growth_to_change,0.15
hexagram_56,2,yin,Line 2 of the wanderer,inner_world,hexagram_50,growth_to_change,0.3
hexagram_56,3,yin,Line 3 of the wanderer,transition,hexagram_30,growth_to_change,0.45
hexagram_56,4,yang,Line 4 of the wanderer,outer_world,hexagram_62,growth_to_change,0.6
hexagram_56,5,yin,Line 5 of the wanderer,authority,hexagram_33,growth_to_change,0.75
hexagram_56,6,yang,Line 6 of the wanderer,culmination,hexagram_52,growth_to_change,0.9
hexagram_57,1,yang,Line 1 of the gentle,foundation,hexagram_59,growth_to_change,0.15
hexagram_57,2,yang,Line 2 of the gentle,inner_world,hexagram_53,growth_to_change,0.3
hexagram_57,3,yin,Line 3 of the gentle,transition,hexagram_09,growth_to_change,0.45
hexagram_57,4,yang,Line 4 of the gentle,outer_world,hexagram_48,growth_to_change,0.6
hexagram_57,5,yang,Line 5 of the gentle,authority,hexagram_18,growth_to_change,0.75
hexagram_57,6,yin,Line 6 of the gentle,culmination,hexagram_44,growth_to_change,0.9
hexagram_58,1,yin,Line 1 of the joyous,foundation,hexagram_43,bloom_to_change,0.15
hexagram_58,2,yang,Line 2 of the joyous,inner_world,hexagram_17,bloom_to_change,0.3
hexagram_58,3,yang,Line 3 of the joyous,transition,hexagram_47,bloom_to_change,0.45
hexagram_58,4,yin,Line 4 of the joyous,outer_world,hexagram_10,bloom_to_change,0.6
hexagram_58,5,yang,Line 5 of the joyous,authority,hexagram_54,bloom_to_change,0.75
hexagram_58,6,yang,Line 6 of the joyous,culmination,hexagram_60,bloom_to_change,0.9
hexagram_59,1,yin,Line 1 of dispersion,foundation,hexagram_57,seed_to_change,0.15
hexagram_59,2,yang,Line 2 of dispersion,inner_world,hexagram_20,seed_to_change,0.3
hexagram_59,3,yin,Line 3 of dispersion,transition,hexagram_61,seed_to_change,0.45
hexagram_59,4,yang,Line 4 of dispersion,outer_world,hexagram_29,seed_to_change,0.6
hexagram_59,5,yang,Line 5 of dispersion,authority,hexagram_04,seed_to_change,0.75
hexagram_59,6,yin,Line 6 of dispersion,culmination,hexagram_06,seed_to_change,0.9
hexagram_60,1,yin,Line 1 of limitation,foundation,hexagram_05,rest_to_change,0.15
hexagram_60,2,yang,Line 2 of limitation,inner_world,hexagram_03,rest_to_change,0.3
hexagram_60,3,yang,Line 3 of limitation,transition,hexagram_29,rest_to_change,0.45
hexagram_60,4,yin,Line 4 of limitation,outer_world,hexagram_61,rest_to_change,0.6
hexagram_60,5,yang,Line 5 of limitation,authority,hexagram_19,rest_to_change,0.75
hexagram_60,6,yin,Line 6 of limitation,culmination,hexagram_58,rest_to_change,0.9
hexagram_61,1,yin,Line 1 of inner truth,foundation,hexagram_09,rest_to_change,0.15
hexagram_61,2,yang,Line 2 of inner truth,inner_world,hexagram_42,rest_to_change,0.3
hexagram_61,3,yang,Line 3 of inner truth,transition,hexagram_59,rest_to_change,0.45
hexagram_61,4,yang,Line 4 of inner truth,outer_world,hexagram_60,rest_to_change,0.6
hexagram_61,5,yang,Line 5 of inner truth,authority,hexagram_41,rest_to_change,0.75
hexagram_61,6,yin,Line 6 of inner truth,culmination,hexagram_10,rest_to_change,0.9
hexagram_62,1,yang,Line 1 of small preponderance,foundation,hexagram_16,growth_to_change,0.15
hexagram_62,2,yin,Line 2 of small preponderance,inner_world,hexagram_32,growth_to_change,0.3
hexagram_62,3,yin,Line 3 of small preponderance,transition,hexagram_55,growth_to_change,0.45
hexagram_62,4,yin,Line 4 of small preponderance,outer_world,hexagram_56,growth_to_change,0.6
hexagram_62,5,yin,Line 5 of small preponderance,authority,hexagram_31,growth_to_change,0.75
hexagram_62,6,yang,Line 6 of small preponderance,culmination,hexagram_15,growth_to_change,0.9
hexagram_63,1,yang,Line 1 of after completion,foundation,hexagram_03,fruit_to_change,0.15
hexagram_63,2,yin,Line 2 of after completion,inner_world,hexagram_05,fruit_to_change,0.3
hexagram_63,3,yang,Line 3 of after completion,transition,hexagram_39,fruit_to_change,0.45
hexagram_63,4,yin,Line 4 of after completion,outer_world,hexagram_37,fruit_to_change,0.6
hexagram_63,5,yang,Line 5 of after completion,authority,hexagram_36,fruit_to_change,0.75
hexagram_63,6,yin,Line 6 of after completion,culmination,hexagram_49,fruit_to_change,0.9
hexagram_64,1,yin,Line 1 of before completion,foundation,hexagram_50,seed_to_change,0.15
hexagram_64,2,yang,Line 2 of before completion,inner_world,hexagram_35,seed_to_change,0.3
hexagram_64,3,yin,Line 3 of before completion,transition,hexagram_38,seed_to_change,0.45
hexagram_64,4,yang,Line 4 of before completion,outer_world,hexagram_40,seed_to_change,0.6
hexagram_64,5,yin,Line 5 of before completion,authority,hexagram_06,seed_to_change,0.75
hexagram_64,6,yang,Line 6 of before completion,culmination,hexagram_04,seed_to_change,0.9
