from_hexagram,from_line,to_hexagram,transition_quality,field_movement,rasa_shift,lifecycle_shift,notes
hexagram_44,3,hexagram_01,firming,expanding,shringara_shifting,bloom_transitioning,Line 3 changes in coming to meet
hexagram_44,4,hexagram_28,yielding,contracting,shringara_shifting,bloom_transitioning,Line 4 changes in coming to meet
hexagram_44,5,hexagram_50,yielding,contracting,shringara_shifting,bloom_transitioning,Line 5 changes in coming to meet
hexagram_44,6,hexagram_57,yielding,contracting,shringara_shifting,bloom_transitioning,Line 6 changes in coming to meet
hexagram_45,1,hexagram_31,firming,expanding,shringara_shifting,growth_transitioning,Line 1 changes in gathering together
hexagram_45,2,hexagram_47,firming,expanding,shringara_shifting,growth_transitioning,Line 2 changes in gathering together
hexagram_45,3,hexagram_17,firming,expanding,shringara_shifting,growth_transitioning,Line 3 changes in gathering together
hexagram_45,4,hexagram_12,firming,expanding,shringara_shifting,growth_transitioning,Line 4 changes in gathering together
hexagram_45,5,hexagram_16,yielding,contracting,shringara_shifting,growth_transitioning,Line 5 changes in gathering together
hexagram_45,6,hexagram_07,yielding,contracting,shringara_shifting,growth_transitioning,Line 6 changes in gathering together
hexagram_46,1,hexagram_08,yielding,contracting,vira_shifting,growth_transitioning,Line 1 changes in pushing upward
hexagram_46,2,hexagram_15,yielding,contracting,vira_shifting,growth_transitioning,Line 2 changes in pushing upward
hexagram_46,3,hexagram_11,firming,expanding,vira_shifting,growth_transitioning,Line 3 changes in pushing upward
hexagram_46,4,hexagram_18,firming,expanding,vira_shifting,growth_transitioning,Line 4 changes in pushing upward
hexagram_46,5,hexagram_48,firming,expanding,vira_shifting,growth_transitioning,Line 5 changes in pushing upward
hexagram_46,6,hexagram_32,firming,expanding,vira_shifting,growth_transitioning,Line 6 changes in pushing upward
hexagram_47,1,hexagram_28,firming,expanding,karuna_shifting,dormancy_transitioning,Line 1 changes in oppression
hexagram_47,2,hexagram_45,yielding,contracting,karuna_shifting,dormancy_transitioning,Line 2 changes in oppression
hexagram_47,3,hexagram_58,firming,expanding,karuna_shifting,dormancy_transitioning,Line 3 changes in oppression
hexagram_47,4,hexagram_06,firming,expanding,karuna_shifting,dormancy_transitioning,Line 4 changes in oppression
hexagram_47,5,hexagram_40,yielding,contracting,karuna_shifting,dormancy_transitioning,Line 5 changes in oppression
hexagram_47,6,hexagram_29,yielding,contracting,karuna_shifting,dormancy_transitioning,Line 6 changes in oppression
hexagram_48,1,hexagram_29,yielding,contracting,shanta_shifting,rest_transitioning,Line 1 changes in the well
hexagram_48,2,hexagram_39,yielding,contracting,shanta_shifting,rest_transitioning,Line 2 changes in the well
hexagram_48,3,hexagram_05,firming,expanding,shanta_shifting,rest_transitioning,Line 3 changes in the well
hexagram_48,4,hexagram_57,firming,expanding,shanta_shifting,rest_transitioning,Line 4 changes in the well
hexagram_48,5,hexagram_46,yielding,contracting,shanta_shifting,rest_transitioning,Line 5 changes in the well
hexagram_48,6,hexagram_28,firming,expanding,shanta_shifting,rest_transitioning,Line 6 changes in the well
hexagram_49,1,hexagram_17,yielding,contracting,raudra_shifting,seed_transitioning,Line 1 changes in revolution
hexagram_49,2,hexagram_43,firming,expanding,raudra_shifting,seed_transitioning,Line 2 changes in revolution
hexagram_49,3,hexagram_31,yielding,contracting,raudra_shifting,seed_transitioning,Line 3 changes in revolution
hexagram_49,4,hexagram_13,firming,expanding,raudra_shifting,seed_transitioning,Line 4 changes in revolution
hexagram_49,5,hexagram_55,yielding,contracting,raudra_shifting,seed_transitioning,Line 5 changes in revolution
hexagram_49,6,hexagram_63,yielding,contracting,raudra_shifting,seed_transitioning,Line 6 changes in revolution
hexagram_50,1,hexagram_64,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 1 changes in the caldron
hexagram_50,2,hexagram_56,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 2 changes in the caldron
hexagram_50,3,hexagram_14,firming,expanding,adbhuta_shifting,bloom_transitioning,Line 3 changes in the caldron
hexagram_50,4,hexagram_32,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 4 changes in the caldron
hexagram_50,5,hexagram_44,firming,expanding,adbhuta_shifting,bloom_transitioning,Line 5 changes in the caldron
hexagram_50,6,hexagram_18,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 6 changes in the caldron
hexagram_51,1,hexagram_55,firming,expanding,bhayanaka_shifting,seed_transitioning,Line 1 changes in the arousing
hexagram_51,2,hexagram_54,firming,expanding,bhayanaka_shifting,seed_transitioning,Line 2 changes in the arousing
hexagram_51,3,hexagram_16,yielding,contracting,bhayanaka_shifting,seed_transitioning,Line 3 changes in the arousing
hexagram_51,4,hexagram_21,firming,expanding,bhayanaka_shifting,seed_transitioning,Line 4 changes in the arousing
hexagram_51,5,hexagram_17,firming,expanding,bhayanaka_shifting,seed_transitioning,Line 5 changes in the arousing
hexagram_51,6,hexagram_24,yielding,contracting,bhayanaka_shifting,seed_transitioning,Line 6 changes in the arousing
hexagram_52,1,hexagram_23,yielding,contracting,shanta_shifting,rest_transitioning,Line 1 changes in keeping still
hexagram_52,2,hexagram_18,firming,expanding,shanta_shifting,rest_transitioning,Line 2 changes in keeping still
hexagram_52,3,hexagram_22,firming,expanding,shanta_shifting,rest_transitioning,Line 3 changes in keeping still
hexagram_52,4,hexagram_15,yielding,contracting,shanta_shifting,rest_transitioning,Line 4 changes in keeping still
hexagram_52,5,hexagram_53,firming,expanding,shanta_shifting,rest_transitioning,Line 5 changes in keeping still
hexagram_52,6,hexagram_56,firming,expanding,shanta_shifting,rest_transitioning,Line 6 changes in keeping still
hexagram_53,1,hexagram_20,yielding,contracting,shringara_shifting,growth_transitioning,Line 1 changes in development
hexagram_53,2,hexagram_57,firming,expanding,shringara_shifting,growth_transitioning,Line 2 changes in development
hexagram_53,3,hexagram_37,firming,expanding,shringara_shifting,growth_transitioning,Line 3 changes in development
hexagram_53,4,hexagram_39,yielding,contracting,shringara_shifting,growth_transitioning,Line 4 changes in development
hexagram_53,5,hexagram_52,yielding,contracting,shringara_shifting,growth_transitioning,Line 5 changes in development
hexagram_53,6,hexagram_33,firming,expanding,shringara_shifting,growth_transitioning,Line 6 changes in development
hexagram_54,1,hexagram_34,firming,expanding,karuna_shifting,growth_transitioning,Line 1 changes in the marrying maiden
hexagram_54,2,hexagram_51,yielding,contracting,karuna_shifting,growth_transitioning,Line 2 changes in the marrying maiden
hexagram_54,3,hexagram_40,yielding,contracting,karuna_shifting,growth_transitioning,Line 3 changes in the marrying maiden
hexagram_54,4,hexagram_38,firming,expanding,karuna_shifting,growth_transitioning,Line 4 changes in the marrying maiden
hexagram_54,5,hexagram_58,firming,expanding,karuna_shifting,growth_transitioning,Line 5 changes in the marrying maiden
hexagram_54,6,hexagram_19,yielding,contracting,karuna_shifting,growth_transitioning,Line 6 changes in the marrying maiden
hexagram_55,1,hexagram_51,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 1 changes in abundance
hexagram_55,2,hexagram_34,firming,expanding,adbhuta_shifting,bloom_transitioning,Line 2 changes in abundance
hexagram_55,3,hexagram_62,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 3 changes in abundance
hexagram_55,4,hexagram_30,firming,expanding,adbhuta_shifting,bloom_transitioning,Line 4 changes in abundance
hexagram_55,5,hexagram_49,firming,expanding,adbhuta_shifting,bloom_transitioning,Line 5 changes in abundance
hexagram_55,6,hexagram_36,yielding,contracting,adbhuta_shifting,bloom_transitioning,Line 6 changes in abundance
hexagram_56,1,hexagram_35,yielding,contracting,karuna_shifting,growth_transitioning,Line 1 changes in the wanderer
hexagram_56,2,hexagram_50,firming,expanding,karuna_shifting,growth_transitioning,Line 2 changes in the wanderer
hexagram_56,3,hexagram_30,firming,expanding,karuna_shifting,growth_transitioning,Line 3 changes in the wanderer
hexagram_56,4,hexagram_62,yielding,contracting,karuna_shifting,growth_transitioning,Line 4 changes in the wanderer
hexagram_56,5,hexagram_33,firming,expanding,karuna_shifting,growth_transitioning,Line 5 changes in the wanderer
hexagram_56,6,hexagram_52,yielding,contracting,karuna_shifting,growth_transitioning,Line 6 changes in the wanderer
hexagram_57,1,hexagram_59,yielding,contracting,shringara_shifting,growth_transitioning,Line 1 changes in the gentle
hexagram_57,2,hexagram_53,yielding,contracting,shringara_shifting,growth_transitioning,Line 2 changes in the gentle
hexagram_57,3,hexagram_09,firming,expanding,shringara_shifting,growth_transitioning,Line 3 changes in the gentle
hexagram_57,4,hexagram_48,yielding,contracting,shringara_shifting,growth_transitioning,Line 4 changes in the gentle
hexagram_57,5,hexagram_18,yielding,contracting,shringara_shifting,growth_transitioning,Line 5 changes in the gentle
hexagram_57,6,hexagram_44,firming,expanding,shringara_shifting,growth_transitioning,Line 6 changes in the gentle
hexagram_58,1,hexagram_43,firming,expanding,hasya_shifting,bloom_transitioning,Line 1 changes in the joyous
hexagram_58,2,hexagram_17,yielding,contracting,hasya_shifting,bloom_transitioning,Line 2 changes in the joyous
hexagram_58,3,hexagram_47,yielding,contracting,hasya_shifting,bloom_transitioning,Line 3 changes in the joyous
hexagram_58,4,hexagram_10,firming,expanding,hasya_shifting,bloom_transitioning,Line 4 changes in the joyous
hexagram_58,5,hexagram_54,yielding,contracting,hasya_shifting,bloom_transitioning,Line 5 changes in the joyous
hexagram_58,6,hexagram_60,yielding,contracting,hasya_shifting,bloom_transitioning,Line 6 changes in the joyous
hexagram_59,1,hexagram_57,firming,expanding,shanta_shifting,seed_transitioning,Line 1 changes in dispersion
hexagram_59,2,hexagram_20,yielding,contracting,shanta_shifting,seed_transitioning,Line 2 changes in dispersion
hexagram_59,3,hexagram_61,firming,expanding,shanta_shifting,seed_transitioning,Line 3 changes in dispersion
hexagram_59,4,hexagram_29,yielding,contracting,shanta_shifting,seed_transitioning,Line 4 changes in dispersion
hexagram_59,5,hexagram_04,yielding,contracting,shanta_shifting,seed_transitioning,Line 5 changes in dispersion
hexagram_59,6,hexagram_06,firming,expanding,shanta_shifting,seed_transitioning,Line 6 changes in dispersion
hexagram_60,1,hexagram_05,firming,expanding,shanta_shifting,rest_transitioning,Line 1 changes in limitation
hexagram_60,2,hexagram_03,yielding,contracting,shanta_shifting,rest_transitioning,Line 2 changes in limitation
hexagram_60,3,hexagram_29,yielding,contracting,shanta_shifting,rest_transitioning,Line 3 changes in limitation
hexagram_60,4,hexagram_61,firming,expanding,shanta_shifting,rest_transitioning,Line 4 changes in limitation
hexagram_60,5,hexagram_19,yielding,contracting,shanta_shifting,rest_transitioning,Line 5 changes in limitation
hexagram_60,6,hexagram_58,firming,expanding,shanta_shifting,rest_transitioning,Line 6 changes in limitation
hexagram_61,1,hexagram_09,firming,expanding,shanta_shifting,rest_transitioning,Line 1 changes in inner truth
hexagram_61,2,hexagram_42,yielding,contracting,shanta_shifting,rest_transitioning,Line 2 changes in inner truth
hexagram_61,3,hexagram_59,yielding,contracting,shanta_shifting,rest_transitioning,Line 3 changes in inner truth
hexagram_61,4,hexagram_60,yielding,contracting,shanta_shifting,rest_transitioning,Line 4 changes in inner truth
hexagram_61,5,hexagram_41,yielding,contracting,shanta_shifting,rest_transitioning,Line 5 changes in inner truth
hexagram_61,6,hexagram_10,firming,expanding,shanta_shifting,rest_transitioning,Line 6 changes in inner truth
hexagram_62,1,hexagram_16,yielding,contracting,karuna_shifting,growth_transitioning,Line 1 changes in small preponderance
hexagram_62,2,hexagram_32,firming,expanding,karuna_shifting,growth_transitioning,Line 2 changes in small preponderance
hexagram_62,3,hexagram_55,firming,expanding,karuna_shifting,growth_transitioning,Line 3 changes in small preponderance
hexagram_62,4,hexagram_56,firming,expanding,karuna_shifting,growth_transitioning,Line 4 changes in small preponderance
hexagram_62,5,hexagram_31,firming,expanding,karuna_shifting,growth_transitioning,Line 5 changes in small preponderance
hexagram_62,6,hexagram_15,yielding,contracting,karuna_shifting,growth_transitioning,Line 6 changes in small preponderance
hexagram_63,1,hexagram_03,yielding,contracting,shanta_shifting,fruit_transitioning,Line 1 changes in after completion
hexagram_63,2,hexagram_05,firming,expanding,shanta_shifting,fruit_transitioning,Line 2 changes in after completion
hexagram_63,3,hexagram_39,yielding,contracting,shanta_shifting,fruit_transitioning,Line 3 changes in after completion
hexagram_63,4,hexagram_37,firming,expanding,shanta_shifting,fruit_transitioning,Line 4 changes in after completion
hexagram_63,5,hexagram_36,yielding,contracting,shanta_shifting,fruit_transitioning,Line 5 changes in after completion
hexagram_63,6,hexagram_49,firming,expanding,shanta_shifting,fruit_transitioning,Line 6 changes in after completion
hexagram_64,1,hexagram_50,firming,expanding,adbhuta_shifting,seed_transitioning,Line 1 changes in before completion
hexagram_64,2,hexagram_35,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 2 changes in before completion
hexagram_64,3,hexagram_38,firming,expanding,adbhuta_shifting,seed_transitioning,Line 3 changes in before completion
hexagram_64,4,hexagram_40,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 4 changes in before completion
hexagram_64,5,hexagram_06,firming,expanding,adbhuta_shifting,seed_transitioning,Line 5 changes in before completion
hexagram_64,6,hexagram_04,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 6 changes in before completion
